country,year,eb_wave,crp_raw,Unnamed: 4,crp_interp
Austria,2004,,,,0.56521738
Austria,2005,,,,0.56521738
Austria,2006,,,,0.56521738
Austria,2007,68.2,0.56521738,,0.56521738
Austria,2008,,,,0.469075635
Austria,2009,71.1,0.37293389,,0.37293389
Austria,2010,,,,0.37208062
Austria,2011,75.4,0.37122735,,0.37122735
Austria,2012,,,,0.415476155
Austria,2013,80.2,0.45972496,,0.45972496
Austria,2014,,,,0.48300257
Austria,2015,83.4,0.50628018,,0.50628018
Austria,2016,,,,0.516297995
Austria,2017,88.1,0.52631581,,0.52631581
Austria,2018,,,,0.493020385
Austria,2019,92.4,0.45972496,,0.45972496
Austria,2020,,0.20394088,,0.20394088
Austria,2021,95.1,0.32583171,,0.32583171
Austria,2022,97.3,0.53377485,,0.53377485
Austria,2023,,,,0.53377485
Austria,2024,,,,0.53377485
Austria,2025,,,,0.53377485
Belgium,2004,,,,0.5697211
Belgium,2005,,,,0.5697211
Belgium,2006,,,,0.5697211
Belgium,2007,68.2,0.5697211,,0.5697211
Belgium,2008,,,,0.44049295499999996
Belgium,2009,71.1,0.31126481,,0.31126481
Belgium,2010,,,,0.332766845
Belgium,2011,75.4,0.35426888,,0.35426888
Belgium,2012,,,,0.32979551
Belgium,2013,80.2,0.30532214,,0.30532214
Belgium,2014,,,,0.407107695
Belgium,2015,83.4,0.50889325,,0.50889325
Belgium,2016,,,,0.534446625
Belgium,2017,88.1,0.56,,0.56
Belgium,2018,,,,0.535710035
Belgium,2019,92.4,0.51142007,,0.51142007
Belgium,2020,,0.20744681,,0.20744681
Belgium,2021,95.1,0.34816247,,0.34816247
Belgium,2022,97.3,0.62130803,,0.62130803
Belgium,2023,,,,0.62130803
Belgium,2024,,,,0.62130803
Belgium,2025,,,,0.62130803
Bulgaria,2004,,,,0.47999999
Bulgaria,2005,,,,0.47999999
Bulgaria,2006,,,,0.47999999
Bulgaria,2007,68.2,0.47999999,,0.47999999
Bulgaria,2008,,,,0.40478439499999996
Bulgaria,2009,71.1,0.3295688,,0.3295688
Bulgaria,2010,,,,0.319749295
Bulgaria,2011,75.4,0.30992979,,0.30992979
Bulgaria,2012,,,,0.28550677
Bulgaria,2013,80.2,0.26108375,,0.26108375
Bulgaria,2014,,,,0.348405765
Bulgaria,2015,83.4,0.43572778,,0.43572778
Bulgaria,2016,,,,0.397883195
Bulgaria,2017,88.1,0.36003861,,0.36003861
Bulgaria,2018,,,,0.39110879499999995
Bulgaria,2019,92.4,0.42217898,,0.42217898
Bulgaria,2020,,0.11823839,,0.11823839
Bulgaria,2021,95.1,0.22718446,,0.22718446
Bulgaria,2022,97.3,0.58343792,,0.58343792
Bulgaria,2023,,,,0.58343792
Bulgaria,2024,,,,0.58343792
Bulgaria,2025,,,,0.58343792
Croatia,2004,,,,
Croatia,2005,,,,
Croatia,2006,,,,
Croatia,2007,,,,
Croatia,2008,,,,
Croatia,2009,,,,
Croatia,2010,,,,
Croatia,2011,,,,
