eb_wave,eb_year,country,climate_risk_perception,Unnamed: 4
68.2,2007,Austria,0.56521738,
71.1,2009,Austria,0.37293389,
75.4,2011,Austria,0.37122735,
80.2,2013,Austria,0.45972496,
83.4,2015,Austria,0.50628018,
88.1,2017,Austria,0.52631581,
92.4,2019,Austria,0.45972496,
,2020,Austria,0.20394088,
95.1,2021,Austria,0.32583171,
97.3,2022,Austria,0.53377485,
68.2,2007,Belgium,0.5697211,
71.1,2009,Belgium,0.31126481,
75.4,2011,Belgium,0.35426888,
80.2,2013,Belgium,0.30532214,
83.4,2015,Belgium,0.50889325,
88.1,2017,Belgium,0.56,
92.4,2019,Belgium,0.51142007,
,2020,Belgium,0.20744681,
95.1,2021,Belgium,0.34816247,
97.3,2022,Belgium,0.62130803,
68.2,2007,Bulgaria,0.47999999,
71.1,2009,Bulgaria,0.3295688,
75.4,2011,Bulgaria,0.30992979,
80.2,2013,Bulgaria,0.26108375,
83.4,2015,Bulgaria,0.43572778,
88.1,2017,Bulgaria,0.36003861,
92.4,2019,Bulgaria,0.42217898,
,2020,Bulgaria,0.11823839,
95.1,2021,Bulgaria,0.22718446,
97.3,2022,Bulgaria,0.58343792,
80.2,2013,Croatia,0.34070352,
83.4,2015,Croatia,0.44666001,
88.1,2017,Croatia,0.40686274,
92.4,2019,Croatia,0.45383868,
,2020,Croatia,0.15451895,
95.1,2021,Croatia,0.32261208,
97.3,2022,Croatia,0.57755774,
68.2,2007,Cyprus,0.78811884,
71.1,2009,Cyprus,0.46719682,
75.4,2011,Cyprus,0.42857143,
80.2,2013,Cyprus,0.354,
83.4,2015,Cyprus,0.33199999,
88.1,2017,Cyprus,0.56087822,
92.4,2019,Cyprus,0.60714287,
,2020,Cyprus,0.096039601,
95.1,2021,Cyprus,0.31349206,
97.3,2022,Cyprus,0.43817788,
68.2,2007,Czechia,0.48845166,
71.1,2009,Czechia,0.24661508,
75.4,2011,Czechia,0.2333001,
80.2,2013,Czechia,0.27992088,
83.4,2015,Czechia,0.29166666,
