CELEX,Directive name,Date of document,Date of effect,Amending,Country Code,Country,Measure Title,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Aktionsplan 2022–2024 zur Klima- und Energiestrategie Steiermark 2030 plus,2021-06-30,2022-08-01,"Energy, Environment",397.0,56.714285714285715,13.233333333333333
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz vom 26. März 1969 über die Berufsausbildung von Lehrlingen (Berufsausbildungsgesetz – BAG),2021-06-30,2023-06-21,"Energy, Environment",721.0,103.0,24.033333333333335
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Förderung der Elektrizitätserzeugung aus erneuerbaren Energieträgern (Ökostromgesetz 2012 – ÖSG 2012),2021-06-30,2023-12-31,"Energy, Environment",914.0,130.57142857142858,30.466666666666665
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Kammern der gewerblichen Wirtschaft (Wirtschaftskammergesetz 1998 – WKG),2021-06-30,2021-12-31,"Energy, Environment",184.0,26.285714285714285,6.133333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Kammern für Arbeiter und Angestellte und die Bundeskammer für Arbeiter und Angestellte (Arbeiterkammergesetz 1992 – AKG),2021-06-30,2022-07-19,"Energy, Environment",384.0,54.857142857142854,12.8
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Regulierungsbehörde in der Elektrizitäts- und Erdgaswirtschaft (Energie-Control-Gesetz – E-ControlG),2021-06-30,2022-02-14,"Energy, Environment",229.0,32.714285714285715,7.633333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die höhere berufliche Bildung (HBB-Gesetz),2021-06-30,2024-02-28,"Energy, Environment",973.0,139.0,32.43333333333333
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Dienstleistungsförderungsrichtlinien 2022 für die Umweltförderung im Inland,2021-06-30,2022-04-01,"Energy, Environment",275.0,39.285714285714285,9.166666666666666
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,EAG-Investitionszuschüsseverordnung-Gas,2021-06-30,2024-06-17,"Energy, Environment",1083.0,154.71428571428572,36.1
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,EAG-Investitionszuschüsseverordnung-Strom,2021-06-30,2024-03-14,"Energy, Environment",988.0,141.14285714285714,32.93333333333333
